epoch,train_reward
0,0.005026852160408452
1,2.5330596690764652e-05
2,2.5008542215800845e-05
3,2.5276812812080608e-05
4,2.5150043111352716e-05
5,2.5101595056185034e-05
6,2.508046411094256e-05
7,2.524516450648662e-05
8,2.5210914100171066e-05
9,2.518702869565459e-05
10,2.509371486667078e-05
11,2.515236901672324e-05
12,2.531103997171158e-05
13,2.5318085754406638e-05
14,2.502269449905725e-05
15,2.5266708034905606e-05
16,2.5221223622793332e-05
17,2.5016484651132488e-05
18,2.525318592233816e-05
19,2.5185979102388955e-05
